time, lone, latg, alti, altia, vimag, vrmag, loneip, latgip, tgo, path, azih, pati, alph, beta, thep, psip, eu_r1, eu_r2, eu_i1, eu_i2, inc, ha, hp, aorb, ta, mach, dp, thru, drag, ab, massLV, drng, drngi, delv0, delv1, delv2, delv3, delv4, plon, diip0, diip1, diip2, diip3
    3.1000000,  127.5363299,   34.4318193,    0.1490188,    0.1490188,    0.3836850,    0.0070962,  127.5363300,   34.4318137,    6.2952717,   89.6022326, -174.4004068,    1.0597087,    0.3849839,    0.0963948,   90.0000000,    0.0000000,   89.9893172,  -89.9926768,   90.0000000,    0.0000000,   34.4318200,    0.1515944,-6370.6181253, 3192.9037346,  179.9974983,    0.0208883,    0.0304040,  652.8143450,    0.0336200,    1.2392814,53712.7465101,    0.0001344,    0.0007048,    0.0370597,    0.0000000,    0.0002773,    0.0051913,    0.0425897,   37.5363312,    0.0013968,    0.4053957,   -0.0000019,   -0.0000003
    3.2000000,  127.5363299,   34.4318193,    0.1497403,    0.1497403,    0.3836892,    0.0073343,  127.5363299,   34.4318135,    6.3360928,   89.6026103, -174.2183087,    1.0952638,    0.3843390,    0.0971683,   90.0000000,    0.0000000,   89.9889726,  -89.9924406,   90.0000000,    0.0000000,   34.4318200,    0.1524917,-6370.6181344, 3192.9041787,  179.9974144,    0.0215895,    0.0324767,  652.8221145,    0.0359187,    1.2398790,53687.3102685,    0.0001344,    0.0007238,    0.0382527,    0.0000000,    0.0002957,    0.0053599,    0.0439740,   37.5363313,    0.0014162,    0.4110216,   -0.0000019,   -0.0000003
    3.3000000,  127.5363299,   34.4318192,    0.1504856,    0.1504856,    0.3836935,    0.0075730,  127.5363299,   34.4318133,    6.3774752,   89.6029834, -174.0361578,    1.1309057,    0.3836952,    0.0979400,   90.0000000,    0.0000000,   89.9886280,  -89.9922044,   90.0000000,    0.0000000,   34.4318200,    0.1534191,-6370.6181437, 3192.9046377,  179.9973302,    0.0222924,    0.0346228,  652.8301401,    0.0382995,    1.2404774,53661.8740268,    0.0001344,    0.0007484,    0.0394456,    0.0000000,    0.0003147,    0.0055285,    0.0453589,   37.5363314,    0.0014355,    0.4166222,   -0.0000019,   -0.0000003
    3.4000000,  127.5363299,   34.4318192,    0.1512548,    0.1512548,    0.3836981,    0.0078124,  127.5363299,   34.4318132,    6.4194163,   89.6033521, -173.8539574,    1.1666346,    0.3830523,    0.0987099,   90.0000000,    0.0000000,   89.9882834,  -89.9919682,   90.0000000,    0.0000000,   34.4318200,    0.1543767,-6370.6181533, 3192.9051117,  179.9972459,    0.0229970,    0.0368429,  652.8384225,    0.0407631,    1.2410768,53636.4377852,    0.0001344,    0.0007721,    0.0406383,    0.0000000,    0.0003344,    0.0056972,    0.0467445,   37.5363315,    0.0014547,    0.4221965,   -0.0000020,   -0.0000003
    3.5000000,  127.5363299,   34.4318191,    0.1520481,    0.1520481,    0.3837027,    0.0080523,  127.5363298,   34.4318130,    6.4619136,   89.6037164, -173.6717114,    1.2024504,    0.3824104,    0.0994780,   90.0000000,    0.0000000,   89.9879388,  -89.9917320,   90.0000000,    0.0000000,   34.4318200,    0.1553646,-6370.6181632, 3192.9056007,  179.9971613,    0.0237035,    0.0391374,  652.8469622,    0.0433101,    1.2416770,53611.0015436,    0.0001344,    0.0007837,    0.0418309,    0.0000000,    0.0003546,    0.0058660,    0.0481307,   37.5363317,    0.0014738,    0.4277436,   -0.0000020,   -0.0000003
    3.6000000,  127.5363299,   34.4318191,    0.1528653,    0.1528653,    0.3837075,    0.0082928,  127.5363298,   34.4318127,    6.5049641,   89.6040761, -173.4894231,    1.2383534,    0.3817695,    0.1002443,   90.0000000,    0.0000000,   89.9875942,  -89.9914958,   90.0000000,    0.0000000,   34.4318200,    0.1563828,-6370.6181734, 3192.9061047,  179.9970765,    0.0244116,    0.0415068,  652.8557599,    0.0459409,    1.2422781,53585.5653020,    0.0001344,    0.0008176,    0.0430232,    0.0000000,    0.0003755,    0.0060348,    0.0495176,   37.5363318,    0.0014928,    0.4332625,   -0.0000021,   -0.0000003
    3.7000000,  127.5363299,   34.4318190,    0.1537066,    0.1537066,    0.3837125,    0.0085338,  127.5363298,   34.4318125,    6.5485651,   89.6044315, -173.3070963,    1.2743437,    0.3811297,    0.1010088,   90.0000000,    0.0000000,   89.9872496,  -89.9912595,   90.0000000,    0.0000000,   34.4318200,    0.1574316,-6370.6181839, 3192.9066239,  179.9969915,    0.0251215,    0.0439516,  652.8648160,    0.0486563,    1.2428802,53560.1290604,    0.0001344,    0.0008394,    0.0442154,    0.0000000,    0.0003970,    0.0062037,    0.0509051,   37.5363320,    0.0015117,    0.4387526,   -0.0000021,   -0.0000004
    3.8000000,  127.5363299,   34.4318190,    0.1545720,    0.1545720,    0.3837176,    0.0087755,  127.5363297,   34.4318123,    6.5927136,   89.6047824, -173.1247346,    1.3104212,    0.3804908,    0.1017715,   90.0000000,    0.0000000,   89.9869050,  -89.9910233,   90.0000000,    0.0000000,   34.4318200,    0.1585111,-6370.6181947, 3192.9071582,  179.9969063,    0.0258332,    0.0464724,  652.8741312,    0.0514567,    1.2434831,53534.6928188,    0.0001344,    0.0008554,    0.0454074,    0.0000000,    0.0004191,    0.0063727,    0.0522933,   37.5363322,    0.0015306,    0.4442128,   -0.0000021,   -0.0000004
    3.9000000,  127.5363299,   34.4318189,    0.1554617,    0.1554617,    0.3837229,    0.0090178,  127.5363297,   34.4318121,    6.6374067,   89.6051289, -172.9423416,    1.3465862,    0.3798529,    0.1025324,   90.0000000,    0.0000000,   89.9865604,  -89.9907871,   90.0000000,    0.0000000,   34.4318200,    0.1596212,-6370.6182058, 3192.9077077,  179.9968209,    0.0265467,    0.0490695,  652.8837059,    0.0543429,    1.2440870,53509.2565772,    0.0001901,    0.0008814,    0.0465993,    0.0000000,    0.0004418,    0.0065417,    0.0536822,   37.5363323,    0.0015493,    0.4496426,   -0.0000022,   -0.0000004
    4.0000000,  127.5363299,   34.4318189,    0.1563756,    0.1563756,    0.3837283,    0.0092606,  127.5363297,   34.4318119,    6.6826411,   89.6054710, -172.7599208,    1.3828387,    0.3792160,    0.1032915,   90.0000000,    0.0000000,   89.9862158,  -89.9905509,   90.0000000,    0.0000000,   34.4318200,    0.1607621,-6370.6182172, 3192.9082725,  179.9967353,    0.0272619,    0.0517436,  652.8935409,    0.0573154,    1.2446917,53483.8203356,    0.0001344,    0.0009066,    0.0477909,    0.0000000,    0.0004651,    0.0067108,    0.0550717,   37.5363325,    0.0015678,    0.4550411,   -0.0000022,   -0.0000004
